2023-12-20 15:51:30,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:51:32,965 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:37,966 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:42,967 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:45,799 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:51:45,800 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:51:45,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:51:48,920 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:53,922 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:58,924 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:00,795 DEBUG   SenderThread:22228 [sender.py:send():380] send: stats
2023-12-20 15:52:00,799 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:52:00,800 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:52:00,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:52:04,898 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:09,899 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:14,901 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:15,799 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:52:15,800 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:52:15,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:52:20,887 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:25,889 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:30,793 DEBUG   SenderThread:22228 [sender.py:send():380] send: stats
2023-12-20 15:52:30,800 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:52:30,800 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:52:30,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:52:30,912 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:35,913 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:40,914 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:45,800 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:52:45,800 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:52:45,846 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:52:46,910 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:52:51,912 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
